,日期,星期,最高气温,最低气温,天气,风向,级数
0,2024-02-01,星期四,-2℃,-4℃,多云,北风,4级
1,2024-02-02,星期五,0℃,-3℃,阴~多云,北风,3级
2,2024-02-03,星期六,1℃,-4℃,阴~多云,北风,3级
3,2024-02-04,星期日,0℃,-2℃,阴~大雪,东北风,2级
4,2024-02-05,星期一,0℃,-5℃,阴~多云,西北风,5级
5,2024-02-06,星期二,2℃,-4℃,多云~晴,西北风,3级
6,2024-02-07,星期三,3℃,-4℃,晴,西北风,3级
7,2024-02-08,星期四,3℃,0℃,多云~晴,西北风,2级
8,2024-02-09,星期五,5℃,-2℃,多云~晴,西南风,2级
9,2024-02-10,星期六,7℃,-2℃,多云~晴,西北风,2级
10,2024-02-11,星期日,11℃,3℃,晴,西南风,2级
11,2024-02-12,星期一,8℃,5℃,多云~晴,南风,3级
12,2024-02-13,星期二,10℃,6℃,晴~多云,东南风,3级
13,2024-02-14,星期三,18℃,1℃,阴~雨夹雪,东南风,1级
14,2024-02-15,星期四,4℃,-2℃,阴~晴,西北风,4级
15,2024-02-16,星期五,6℃,4℃,晴,南风,4级
16,2024-02-17,星期六,7℃,6℃,阴~晴,东南风,4级
17,2024-02-18,星期日,9℃,3℃,雾~小雨,东南风,3级
18,2024-02-19,星期一,4℃,0℃,阴,北风,5级
19,2024-02-20,星期二,-2℃,-3℃,阴~暴雪,东北风,4级
20,2024-02-21,星期三,-3℃,-4℃,小雪,北风,5级
21,2024-02-22,星期四,-2℃,-3℃,阴~多云,北风,4级
22,2024-02-23,星期五,0℃,-2℃,阴~小雪,北风,3级
23,2024-02-24,星期六,-1℃,-3℃,中雪~阴,西北风,3级
24,2024-02-25,星期日,5℃,-2℃,多云,西北风,3级
25,2024-02-26,星期一,4℃,-3℃,多云,北风,4级
26,2024-02-27,星期二,5℃,0℃,晴~多云,西南风,1级
27,2024-02-28,星期三,7℃,1℃,阴~雨夹雪,东北风,2级
28,2024-02-29,星期四,5℃,-4℃,阴~多云,东北风,4级
